文章,正文总字符,来源文件数,直接复制字符,部分引用字符,改写字符,直接复制率,含疑似部分引用率,改写/观点相似率,综合查重率,跨文章重复率,主要命中来源,备注
2026-07-20_赛力斯,5145,16,373,63,233,7.2%,1.2%,3.9%,12.4%,0.0%,2026-07-20_赛力斯/原始资料/舆情网页/舆情_新浪财经_2026-07-19_赛力斯与鸿蒙智行四年从亏22亿到赚59亿.html(25)；2026-07-20_赛力斯/原始资料/研报数据/研报_赛力斯_2026-07_毛利率单车成本分析.html(2)；2026-07-20_赛力斯/原始资料/舆情网页/舆情_中国经济网_2026-07-13_赛力斯2026H1预亏15-18亿.html(2)；2026-07-20_赛力斯/原始资料/舆情网页/舆情_经济日报_2021-07_上汽陈虹灵魂论.html(1)；2026-07-20_赛力斯/原始资料/招股书年报/年报_赛力斯_2025_营收1650亿_中国经济网.html(1),
2026-07-20_小红书,6208,18,109,145,375,1.8%,2.3%,5.3%,9.4%,0.0%,2026-07-20_小红书/原始资料/舆情网页/舆情_第一财经YiMagazine_20260619_估值突破500亿美元小红书IPO进入倒计时.html(5)；2026-07-20_小红书/原始资料/舆情网页/舆情_钛媒体_2026_阿里字节留的参考答案.html(5)；2026-07-20_小红书/原始资料/舆情网页/舆情_央广网_20260511_全国首例AI代写种草笔记案.html(5)；2026-07-20_小红书/原始资料/舆情网页/舆情_网易i黑马_20260616_小红书拟月底赴港上市或为近年最大互联网IPO.html(4)；2026-07-20_小红书/原始资料/舆情网页/舆情_虎嗅_20260629_小红书走到上市门口种草被重新定价.html(4),
2026-07-18_长鑫科技,7484,10,118,24,395,1.6%,0.3%,5.1%,7.0%,1.4%,2026-07-18_长鑫科技/原始资料/舆情网页/舆情_证券时报_2026-05-27_长鑫科技IPO过会.html(10)；2026-07-18_长鑫科技/原始资料/舆情网页/舆情_财联社_2026-07-15_长鑫科技下一战.html(4)；2026-07-18_长鑫科技/原始资料/舆情网页/舆情_21世纪经济报道_2026-06-25_SemiAnalysis深度报告.html(3)；2026-07-18_长鑫科技/原始资料/招股书年报/招股书_证券时报_2026-05-27_IPO过会详情.html(3)；2026-07-18_长鑫科技/原始资料/舆情网页/舆情_中国新闻周刊_2026-01-19_阿里云61亿长鑫.html(3),
2026-07-20_燧原科技,5999,18,132,25,269,2.2%,0.4%,4.2%,6.8%,1.4%,2026-07-20_燧原科技/原始资料/舆情网页/舆情_21世纪经济报道_2026-01-23_燧原科技科创板IPO获受理国产GPU四小龙会师资本市场.html(3)；2026-07-20_燧原科技/原始资料/舆情网页/舆情_上海证券报_2026-01-23_2026年首单A股IPO获受理燧原科技拟募资60亿元加码主业.html(3)；2026-07-20_燧原科技/原始资料/舆情网页/舆情_经济导报(大众新闻)_2026-01-26_燧原科技IPO获受理报告期内亏损51亿元与腾讯深度绑定下差异化布局非GPGPU架构.html(2)；2026-07-20_燧原科技/原始资料/舆情网页/舆情_21世纪经济报道_2026-04-23_GPU四小龙之一燧原科技披露问询回复高度依赖腾讯尚未实现盈利.html(2)；2026-07-20_燧原科技/原始资料/舆情网页/舆情_南都周刊_2026-01-22_燧原科技科创板IPO获受理背靠腾讯亦喜亦忧.html(2),
2026-07-24_大宗商品铜,6123,4,37,0,355,0.6%,0.0%,5.5%,6.1%,0.0%,2026-07-24_大宗商品铜/原始资料/评估团_市场视角.md(8)；2026-07-24_大宗商品铜/原始资料/评估团_争议视角.md(4)；2026-07-24_大宗商品铜/原始资料/评估团_追问清单.md(1)；2026-07-24_大宗商品铜/原始资料/评估团_读者视角.md(1),
2026-07-24_空客,9510,4,158,39,351,1.7%,0.4%,3.7%,5.8%,0.0%,2026-07-24_空客/原始资料/评估团/评估团_争议视角.md(10)；2026-07-24_空客/原始资料/评估团/评估团_市场视角.md(6)；2026-07-24_空客/原始资料/评估团/评估团_读者视角.md(4)；2026-07-24_空客/原始资料/评估团/评估团_追问清单.md(3),
2026-07-18_建滔集团,3590,13,29,0,146,0.8%,0.0%,4.1%,4.9%,0.8%,2026-07-18_建滔集团/原始资料/研报数据/研报_CCLA_20250628_全球刚性CCL市占率建滔14.7%.html(2)；2026-07-18_建滔集团/原始资料/研报数据/研报_国金证券_20260624_AI服务器M8M9覆铜板涨价.html(2)；2026-07-18_建滔集团/原始资料/研报数据/研报_兴业研究_20251118_覆铜板格局明晰AI驱动成长.html(1)；2026-07-18_建滔集团/原始资料/招股书年报/年报_建滔集团_20260617_出售套现117亿.html(1),
2026-07-20_周生生,8905,12,137,0,168,1.5%,0.0%,1.8%,3.4%,0.0%,2026-07-20_周生生/原始资料/研报数据/黄金产业链价值分配.md(5)；2026-07-20_周生生/原始资料/招股书年报/年报_周生生_历史传承与里程碑.html(3)；2026-07-20_周生生/原始资料/招股书年报/年报_周生生_20250325_2024年报营业额211亿港元.html(2)；2026-07-20_周生生/原始资料/研报数据/研报_上证报_20250507_金价高企黄金珠宝企业业绩承压行业分析.html(2),
2026-07-24_景顺长城基金,7158,2,40,13,115,0.6%,0.2%,1.6%,2.3%,0.0%,2026-07-24_景顺长城基金/原始资料/评估团/评估团_争议视角.md(4)；2026-07-24_景顺长城基金/原始资料/评估团/评估团_追问清单.md(3),
2026-07-20_深度求索,5860,14,15,24,93,0.3%,0.4%,1.6%,2.3%,0.0%,2026-07-20_深度求索/原始资料/舆情网页/舆情_网易_2026-07-15_DeepSeek年化收入34亿估值5000亿.html(2)；2026-07-20_深度求索/原始资料/舆情网页/舆情_证券时报_2026-07-20_DeepSeek估值3500亿腾讯宁德.html(2)；2026-07-20_深度求索/原始资料/舆情网页/舆情_搜狐_2025-08-27_SemiAnalysis质疑DeepSeek成本.html(1)；2026-07-20_深度求索/原始资料/招股书年报/官方技术报告_DeepSeek-R1_2025-01-22.html(1)；2026-07-20_深度求索/原始资料/舆情网页/舆情_财联社_2025-02-06_多国封禁DeepSeek外交部回应.html(1),
